ambito,tipo,texto,archivo
efg.temperatura,tecnica,"Estimación rápida con el dorso de la mano, nunca la palma, comparando regiones simétricas.",05f
efg.temperatura,buscar,En el anciano 37.5 °C ya puede ser anormal. La fiebre referida siempre se confirma con termómetro.,05e
efg.sato2,tecnica,Oxímetro de pulso en un dedo tibio y sin esmalte; leer cuando la onda sea estable y anotar si respira aire ambiental u oxígeno.,fuera de notas
efg.sato2,buscar,"Cianosis (hemoglobina reducida mayor de 5 g/dl) en labios, punta de la nariz, lóbulos de la oreja y pulpejos.",05f
efg.sato2,buscar,Cianosis en labios y pulpejos con sudoración fría obliga a pensar en bajo gasto o hipoxemia.,05f
efg.sato2,buscar,"Aleteo nasal exagerado: disnea intensa (bronconeumonía, asma infantil)",06b
efg.sato2,buscar,Hipocratismo digital (dedos en palillo de tambor): enfermedades pulmonares crónicas.,07b
efg.peso_talla,instrumento,Balanza: una propia para el recién nacido y cama-balanza para quien no puede levantarse.,05c
efg.peso_talla,instrumento,Tallímetro fijo o integrado a la balanza. Cinta métrica para perímetros corporales.,03b
efg.peso_talla,tecnica,Pesar siempre a la misma hora y con la misma ropa. Hospitalizado: antes del desayuno y en pijama.,05c
efg.peso_talla,tecnica,"Peso ideal (Broca): talla en cm menos 100, en la mujer restar además 5%. Rango normal: peso ideal más o menos 10%.",05c
efg.peso_talla,tecnica,Índice de masa corporal = peso en kg / talla en metros al cuadrado.,05c
efg.peso_talla,buscar,"Índice de masa corporal: bajo peso menos de 18, normal 19-23, sobrepeso 24-25, obesidad más de 26, obesidad mórbida más de 40.",05c
efg.peso_talla,buscar,Enanismo: talla menor de 1.50 m. Gigantismo: más de 1.90 m en varón o 1.80 m en mujer.,05c
efg.peso_talla,buscar,Grasa central o androide (tórax y abdomen) frente a periférica o ginecoide (caderas y nalgas),05c
efg.glasgow,tecnica,"Valorar 3 respuestas independientes y sumarlas: ocular (1-4), motora (1-6) y verbal (1-5). Total de 3 a 15.",05a
efg.glasgow,tecnica,"Ocular: espontánea 4, al sonido 3, al dolor 2, ninguna 1.",05a
efg.glasgow,tecnica,"Motora: obedece órdenes 6, localiza el dolor 5, flexión y retiro 4, flexión anormal 3, extensión 2, ninguna 1.",05a
efg.glasgow,tecnica,"Verbal: orientado 5, conversación confusa 4, palabras inapropiadas 3, sonidos incomprensibles 2, ninguna 1.",05a
efg.glasgow,tecnica,"Evaluar la conciencia desde que entra, observando conducta, comunicación y lo que refieren los familiares.",05a
efg.glasgow,buscar,"Continuo: lúcido, crepuscular, confusional, somnolencia, delirio, estupor y coma grados I a IV.",05a
efg.glasgow,buscar,"Coma II: responde apenas al dolor enérgico con reflejos conservados. Coma III: sin respuesta, arreflexia, incontinencia.",05a
efg.eva,tecnica,"Medir la intensidad con escala nominal (leve, moderado, severo) o con escala visual analógica.",03b
efg.eva,tecnica,"Caracterizar en orden: antigüedad, localización e irradiación, carácter, intensidad y factores agravantes o atenuantes.",03b
efg.eva,buscar,"Agudo: minutos a una semana, con fenómenos autonómicos. Crónico: meses, con alteraciones psíquicas.",03b
efg.eva,buscar,"Carácter: punzante, urente, opresivo, transfixiante, sordo, fulgurante, terebrante, pulsátil, cólico, gravitativo.",03b
efg.eva,tecnica,"En el adulto mayor preguntar siempre por dolor aunque no lo refiera (quinto signo vital), suele ser atípico.",03b
efg.eva,buscar,"Somático bien localizado, visceral difuso, neuropático con alodinia, hiperalgesia o hiperpatía.",03b
efg.llenado_capilar,tecnica,Las notas no describen la prueba de llenado capilar. La digitopresión con el pulpejo sirve para valorar circulación cutánea.,03
efg.llenado_capilar,buscar,"Signo de Quincke: rubor y palidez alternos del lecho ungueal, más visible con el miembro elevado (insuficiencia aórtica)",08e
efg.llenado_capilar,buscar,Palidez localizada en un solo miembro: isquemia por obstrucción arterial (ateroesclerosis o embolia femoral o poplítea),05f
efg.llenado_capilar,buscar,Piel fría y sudorosa en el shock. Zona distal fría como hielo si se obstruye un tronco arterial.,05e
efr.cabeza,tecnica,Inspección y palpación. Empezar por la posición de la cabeza (normal erecta) y buscar movimientos anormales.,06a
efr.cabeza,buscar,Signo de Musset: leve flexión de la cabeza sincrónica con cada latido (insuficiencia aórtica),06a
efr.cabeza,instrumento,"Cinta métrica para medir diámetros corporales, incluida la cabeza.",03b
efr.cabeza,buscar,"Circunferencia normal 54 cm en mujer y 56 cm en varón. Macrocefalia si aumenta, microcefalia menor de 51 cm.",06a
efr.cabeza,tecnica,"Palpar cuero cabelludo: cabello, alopecia, seborrea, pediculosis, lipomas. En el lactante, palpar fontanelas.",06a
efr.cabeza,buscar,"Fontanela hundida: deshidratación. Abombada: hidrocefalia. Anterior cierra a los 10-20 meses, posterior hacia los 2 meses.",06a
efr.cabeza,tecnica,"Simetría facial: comparar ambos lados pidiendo arrugar la frente, cerrar los ojos y sonreír.",06a
efr.cabeza,buscar,"Parálisis facial periférica: toda la hemicara, sin arrugas frontales, no cierra el ojo, comisura desviada al lado sano.",06a
efr.ojos,instrumento,Linterna para los reflejos pupilares. Una gasa para el reflejo corneal.,06a
efr.ojos,tecnica,"Interrogar primero: dolor, ardor, epífora, ojo seco, ojo rojo, diplopía, fotofobia y secreción.",06a
efr.ojos,buscar,"Mirada, exoftalmos (bilateral en Graves) o enoftalmos. Ptosis, enoftalmos y miosis unilaterales: Claude Bernard Horner.",06a
efr.ojos,tecnica,"Palpar el globo con párpados cerrados y compresión suave: tensión alta en glaucoma, baja en deshidratación.",06a
efr.ojos,buscar,"Párpados, cerrados y luego abiertos: edema, xantelasma, ptosis, ectropión, entropión, orzuelo, chalazión.",06a
efr.ojos,buscar,"Conjuntiva pálida, amarilla o hiperémica. Esclerótica ictérica. Córnea opaca, diferenciar del arco senil.",06a
efr.ojos,tecnica,"Reflejos: fotomotor (iluminar un ojo), consensual (se contrae el otro) y acomodación (acercar un objeto a la nariz)",06a
efr.ojos,buscar,"Pupilas redondas, centrales, 2-4 mm, isocóricas. Miosis menos de 2 mm, midriasis más de 4-7 mm. Catarata: pupila blanca.",06a
efr.nariz,buscar,"Forma: nariz en silla de montar (sífilis), rinofima, eritema en alas de mariposa (lupus), telangiectasias (alcoholismo)",06b
efr.nariz,buscar,Aleteo nasal exagerado: disnea intensa.,06b
efr.nariz,tecnica,"Permeabilidad: ocluir un orificio con el dedo mientras respira por el otro, y luego al revés. Normal: fácil y silenciosa.",06b
efr.nariz,tecnica,Presionar sobre los pómulos buscando dolor (sinusitis),06b
efr.nariz,buscar,"Secreción serosa y blanquecina en rinitis alérgica, purulenta verde-amarillenta en sinusitis. Anotar epistaxis.",06b
efr.nariz,tecnica,"Olfato (I par): cada fosa por separado, ojos cerrados, con sustancias no irritantes (menta, café, canela, clavo)",11d
efr.oidos,instrumento,Otoscopio para el conducto auditivo y la membrana timpánica.,06b
efr.oidos,instrumento,Diapasón de 512 a 1024 Hz si se detecta hipoacusia.,11d
efr.oidos,buscar,"Pabellón: aotía, microtia, macrotia, tofos. Dolor al presionar la mastoides orienta a mastoiditis.",06b
efr.oidos,tecnica,"Otoscopia: traccionar el pabellón hacia arriba, atrás y afuera. Revisar conducto (cerumen, cuerpo extraño) y tímpano.",06b
efr.oidos,buscar,"Membrana timpánica normal blanca translúcida, íntegra y adherida. En otitis: abombada, retraída o desgarrada.",06b
efr.oidos,tecnica,"Audición gruesa: comparar voz normal y cuchicheada, o reloj a 20 cm del oído.",06b
efr.oidos,tecnica,"Rinne: diapasón en la mastoides hasta que deje de oír, luego a 2-3 cm del conducto. Normal: vuelve a oírlo por vía aérea.",11d
efr.oidos,tecnica,"Weber: diapasón en el vértex. Normal en la línea media. Lateraliza al oído sordo en conducción, al sano en neurosensorial.",11d
efr.boca,instrumento,Bajalenguas y linterna o buena luz para la cavidad oral y la garganta.,03b
efr.boca,tecnica,"Retirar prótesis. Ver labios, mucosa, encías (cara labial y lingual) y contar dientes: 20 temporales, 32 permanentes.",06b
efr.boca,tecnica,"Faringe: presionar con el bajalenguas el lateral de la lengua, nunca la punta ni la base, y pedir que pronuncie A.",06b
efr.boca,buscar,"Faringe roja (faringitis), amígdalas crecidas o supuradas (amigdalitis). Trismus: no puede abrir la boca.",06b
efr.boca,tecnica,"Lengua en tres posiciones: en reposo, protruida y con la punta hacia el paladar. Desvío al protruir: hemiplejia o XII par.",06b
efr.boca,buscar,"Lengua seca (descartar respiración bucal), en fresa, blanca por cándida, saburral, escrotal, macroglosia.",06b
efr.boca,buscar,"Labios pálidos, cianóticos o con queilitis. Manchas de Koplik frente a molares, placas de cándida, pigmento de Addison.",06b
efr.boca,buscar,"Aliento alcohólico, urémico, hepático o cetónico (a manzana). Halitosis por mal aseo, caries o infección.",06b
efr.cuello,instrumento,Estetoscopio para auscultar tiroides y vasos. En el cuello no se percute.,06c
efr.cuello,posicion,"Yugulares: paciente a 30-45°, cabeza algo rotada a la izquierda, luz tangencial. Preferir la yugular derecha.",06c
efr.cuello,buscar,"Forma, posición, movilidad, latido carotídeo, ingurgitación yugular y cicatrices (tiroidectomía, biopsia)",06c
efr.cuello,tecnica,"Ganglios: examinador detrás, cuello algo flexionado e inclinado al lado examinado, palpar con índice, medio y anular.",05j
efr.cuello,tecnica,"De Quervain: paciente sentado, examinador detrás, pulgares en la nuca (C7), palpar cada lóbulo separando el esternocleidomastoideo.",06c
efr.cuello,tecnica,"Lahey: examinador de frente, ambos pulgares sobre la tiroides y pedir que degluta para ver su movilidad.",06c
efr.cuello,buscar,"Tiroides: volumen (bocio), consistencia, temperatura, movilidad al deglutir, superficie, nódulos, frémito, soplo, dolor.",06c
efr.cuello,tecnica,Reflujo hepatoyugular: comprimir el hipocondrio derecho 30-60 s. Positivo si aumenta la ingurgitación yugular.,08e
efr.torax_inspeccion,posicion,"Tórax totalmente descubierto. Examinador frente a la cara anterior, luego la posterior y las laterales, comparando lados.",07b
efr.torax_inspeccion,tecnica,"Para las líneas axilares, pedir que levante el brazo. Por detrás, contar desde la apófisis espinosa de C7.",07b
efr.torax_inspeccion,buscar,"General: facies héctica o neumónica, decúbito preferido, hipocratismo digital, palidez y cianosis.",07b
efr.torax_inspeccion,buscar,"Forma: en tonel, paralítico, excavado, en quilla, rosario costal. Cifosis, lordosis o escoliosis.",07b
efr.torax_inspeccion,buscar,"Asimetría: abombamiento (derrame, neumotórax, tumor) o retracción (secuela de tuberculosis, fibrosis, atelectasia)",07b
efr.torax_inspeccion,buscar,"Pared: fístulas, cicatrices, circulación colateral y edema en esclavina (obstrucción de vena cava superior)",07b
efr.torax_inspeccion,buscar,"Dinámica: tipo, frecuencia, ritmo y amplitud respiratoria. El hemitórax enfermo se mueve menos.",07b
efr.torax_palpacion,posicion,"Tórax descubierto, paciente sentado para la expansibilidad. Mano del examinador tibia (el frío da crujidos falsos)",07c
efr.torax_palpacion,tecnica,Comparar la temperatura de ambos hemitórax con el dorso de la mano. Palpar partes blandas y ganglios.,07c
efr.torax_palpacion,buscar,"Dolor, edema de pared, fluctuación (empiema) y crepitación bajo los dedos (enfisema subcutáneo)",07c
efr.torax_palpacion,tecnica,"Rouault: paciente con brazos sobre las rodillas, examinador detrás, pulgares a nivel de C7. Ver su separación al inspirar.",07c
efr.torax_palpacion,tecnica,"Base: manos en los costados, pulgares en la línea media a la altura del ángulo del omóplato. Cara anterior: desde el frente.",07c
efr.torax_palpacion,buscar,"Expansibilidad baja bilateral (enfisema) o unilateral (derrame, neumonía, atelectasia). Aumento compensador del lado sano.",07c
efr.torax_palpacion,tecnica,"Vibraciones vocales: palma de la mano de arriba abajo, comparando lados, mientras dice treinta y tres con igual tono.",07c
efr.torax_palpacion,buscar,"Vibraciones aumentadas en condensación (neumonía). Disminuidas en derrame, neumotórax, atelectasia, enfisema, obesidad.",07c
efr.torax_percusion,tecnica,Percusión dígito-digital de Gerhardt: el pulpejo del medio derecho golpea la 2.ª falange del medio izquierdo.,03b
efr.torax_percusion,posicion,Posterior: sentado o en decúbito lateral. Anterior: decúbito dorsal o sentado. Lateral: manos del paciente sobre la cabeza.,07c
efr.torax_percusion,tecnica,"De arriba abajo, comparando puntos simétricos: línea medioclavicular por delante y axilar media por el costado.",07c
efr.torax_percusion,buscar,Normal: claro pulmonar. Matidez hepática desde el 5.º espacio intercostal derecho. Timpanismo en el espacio de Traube a la izquierda.,07c
efr.torax_percusion,buscar,"Mate o submate: condensación, atelectasia, derrame. Hipersonoridad: enfisema, asma. Timpanismo: neumotórax.",07c
efr.torax_percusion,buscar,"Obesidad, grandes masas musculares, mamas voluminosas o edema de pared pueden dar falsa matidez.",07c
efr.torax_auscultacion,instrumento,"Estetoscopio con diafragma apoyado con presión firme y olivas bien ajustadas. Si hay mucho vello, mojarlo o untar vaselina.",07d
efr.torax_auscultacion,posicion,"Paciente sentado, respiración lenta y de amplitud mediana, boca entreabierta. Si no puede, decúbito dorsal o lateral.",07d
efr.torax_auscultacion,tecnica,"Del vértice a las bases, comparando cada punto con su homólogo: cara posterior, anterior y fosas supraclaviculares.",07d
efr.torax_auscultacion,tecnica,"Ruido dudoso: respirar normal, luego profundo, luego toser. Evitarlo si hay dolor torácico intenso, disnea o hemoptisis.",07d
efr.torax_auscultacion,buscar,"Murmullo vesicular disminuido en derrame, neumonía, atelectasia o neumotórax. Espiración prolongada en asma y enfermedad pulmonar obstructiva crónica.",07d
efr.torax_auscultacion,buscar,"Estertores secos (roncus, sibilancias, estridor) y húmedos (crepitantes al final de la inspiración, subcrepitantes)",07d
efr.torax_auscultacion,buscar,"Soplo tubárico (neumonía), pleurítico (borde alto del derrame) y frote pleural, que no cambia con la tos.",07d
efr.torax_auscultacion,tecnica,"Voz: auscultar mientras dice treinta y tres. Broncofonía en condensación, egofonía en derrame, pectoriloquia en caverna.",07d
efr.cardiovascular,instrumento,"Estetoscopio: diafragma para 1.º y 2.º ruido, campana apoyada suave para 3.º y 4.º ruido y galope.",08c
efr.cardiovascular,posicion,"Tórax descubierto, ambiente silencioso, decúbito dorsal o sentado. Receptor directo sobre la piel, nunca sobre ropa.",08c
efr.cardiovascular,tecnica,"Precordio: primero mirar, luego palma abierta sobre los espacios y localizar el ictus con el pulpejo del índice.",08b
efr.cardiovascular,buscar,"Ictus en 5.º espacio intercostal izquierdo en normolíneos, del tamaño de un pulpejo. Abajo y afuera: hipertrofia del ventrículo izquierdo. Frémito: sitio, tiempo e intensidad.",08b
efr.cardiovascular,tecnica,"Auscultar en orden: mitral (5.º espacio intercostal izquierdo, línea medioclavicular), tricuspídeo (base del xifoides), pulmonar (2.º espacio intercostal izquierdo) y aórtico (2.º espacio intercostal derecho)",08c
efr.cardiovascular,posicion,Decúbito lateral izquierdo refuerza los focos de la punta. Sentado inclinado hacia adelante resalta los de la base.,08c
efr.cardiovascular,tecnica,Palpar el pulso carotídeo mientras se ausculta: lo que coincide con el pulso es sistólico (1.er ruido),08c
efr.cardiovascular,buscar,"Primer y segundo ruido, ritmo, frecuencia, intensidad, desdoblamientos, soplos y galope (3.º o 4.º ruido patológico)",08c
efr.abdomen_inspeccion,posicion,"Decúbito dorsal sin almohada o con una plana, miembros extendidos. Examinador a la derecha, buena luz, manos tibias.",09b
efr.abdomen_inspeccion,tecnica,"Orden en el abdomen: inspección, auscultación, palpación superficial y profunda, y por último percusión.",09b
efr.abdomen_inspeccion,tecnica,Ubicar cada hallazgo en las 9 regiones o en los 4 cuadrantes del abdomen.,09b
efr.abdomen_inspeccion,tecnica,Examinar también de pie y pedir que tosa: las hernias pequeñas pasan inadvertidas en decúbito.,09b
efr.abdomen_inspeccion,buscar,"Forma: plano, globuloso (obesidad, ascitis, embarazo), excavado o asimétrico. Abdomen de batracio en ascitis.",09b
efr.abdomen_inspeccion,buscar,"Piel: cicatrices, estrías, manchas de Cullen (periumbilical) y Grey Turner (flancos), roséolas tíficas.",09b
efr.abdomen_inspeccion,buscar,"Circulación colateral, ondas peristálticas visibles, pulsaciones, movimientos respiratorios y cicatriz umbilical.",09b
efr.abdomen_auscultacion,instrumento,Estetoscopio con diafragma.,09b
efr.abdomen_auscultacion,tecnica,"Auscultar antes de palpar y percutir, para no alterar los ruidos hidroaéreos. Paciente en decúbito dorsal.",09b
efr.abdomen_auscultacion,buscar,"Ruidos hidroaéreos normales: intensidad moderada, 4 a 5 por minuto.",09b
efr.abdomen_auscultacion,buscar,Ruidos aumentados y metálicos: obstrucción mecánica. Silencio abdominal: íleo paralítico o peritonitis.,09b
efr.abdomen_auscultacion,buscar,"Soplos: periumbilical por aneurisma aórtico, en flancos o región lumbar por estenosis de la arteria renal.",09b
efr.abdomen_palpacion,posicion,Decúbito dorsal. Pedir que respire hondo con la boca abierta y flexione las piernas para relajar la pared.,09b
efr.abdomen_palpacion,tecnica,"Superficial con la palma, no la punta de los dedos, suave y en orden desde la fosa ilíaca derecha. La zona dolorosa al final.",09b
efr.abdomen_palpacion,buscar,"Puntos epigástrico, cístico, McBurney y ureterales. Defensa o abdomen en tabla. Hernias al pujar o toser.",09b
efr.abdomen_palpacion,tecnica,"Profunda: aumentar la presión de forma gradual. Masa: localización, forma, volumen, sensibilidad, consistencia, movilidad.",09b
efr.abdomen_palpacion,tecnica,"Blumberg: comprimir lento, sostener y soltar de golpe. Positivo si duele más al soltar (irritación peritoneal)",09b
efr.abdomen_palpacion,tecnica,"Hígado bimanual: mano izquierda en región lumbar, derecha bajo el reborde costal, buscar el borde en inspiración profunda.",09b
efr.abdomen_palpacion,tecnica,Murphy: pulgar en el punto cístico bajo el reborde costal derecho y pedir inspiración. Positivo si la corta por dolor.,09b
efr.abdomen_palpacion,tecnica,"Bazo: bimanual bajo el reborde izquierdo o Schuster (decúbito lateral derecho, pierna izquierda flexionada a 90°)",09b
efr.abdomen_percusion,tecnica,Paciente en decúbito dorsal. Percusión dígito-digital en líneas próximas o en forma radiada desde el epigastrio.,09b
efr.abdomen_percusion,buscar,"Mate en vísceras macizas, timpánico en huecas (más en Traube). Hipertimpanismo: meteorismo, obstrucción, neumoperitoneo.",09b
efr.abdomen_percusion,tecnica,"Hígado: submatidez desde el 5.º espacio intercostal derecho, bajar hasta que reaparezca el timpanismo (borde inferior)",09b
efr.abdomen_percusion,buscar,"Signo de Jobert: timpanismo sobre el área hepática, sugiere neumoperitoneo por perforación.",09b
efr.abdomen_percusion,tecnica,"Oleada ascítica: borde cubital de una mano en la línea media, palma en un flanco y golpecitos en el flanco opuesto.",09b
efr.abdomen_percusion,tecnica,Matidez desplazable: percutir en decúbito dorsal y luego lateral derecho. Positiva si la matidez pasa al lado declive.,09b
efr.abdomen_percusion,buscar,"Ascitis grande: oleada positiva y matidez en flancos. Mediana: oleada negativa, usar matidez desplazable. Pequeña: ecografía.",09b
efr.genitourinario,tecnica,"Inspección de flancos, abdomen y región lumbar: abombamientos, signos inflamatorios, fístulas. Varicocele derecho: tumor renal.",10b
efr.genitourinario,tecnica,"Riñón bimanual: decúbito dorsal, mano izquierda en región lumbar empuja hacia adelante, derecha palpa el flanco.",10b
efr.genitourinario,posicion,Israel: decúbito lateral sobre el lado opuesto al riñón examinado. Guyon: decúbito dorsal con impulsos costovertebrales.,10b
efr.genitourinario,buscar,"Riñón: forma, consistencia, tamaño, situación, superficie, dolor, movilidad y peloteo. Normal solo polo inferior derecho.",10b
efr.genitourinario,tecnica,"Puño-percusión: mano izquierda abierta en región lumbar, golpe con el puño derecho, en ambos lados. Dolor: Giordano positivo.",10b
efr.genitourinario,buscar,"Vejiga: distensión sobre el ombligo, masa periforme tras el pubis y matidez en hipogastrio (globo vesical)",10b
efr.genitourinario,instrumento,Tacto rectal: guantes y vaselina líquida en el índice derecho. Contraindicado en fisura anal y trombosis hemorroidal.,10b
efr.genitourinario,posicion,"Tacto rectal: genupectoral o decúbito dorsal con rodillas flexionadas, buena luz y explicar antes el examen.",10b
efr.columna,tecnica,"Se inspecciona con la cara posterior del tórax descubierta. Referencia: apófisis espinosa de C7, la más prominente.",07b
efr.columna,tecnica,Contar las apófisis espinosas hacia abajo desde C7. La de L1 se reconoce por ser redondeada.,07b
efr.columna,buscar,"Cifosis (convexidad posterior T8-L3: osteoporosis, mal de Pott), lordosis lumbar y escoliosis (desviación lateral)",07b
efr.columna,buscar,Cifoescoliosis avanzada: puede terminar en insuficiencia respiratoria y cor pulmonale crónico.,05a
efr.columna,tecnica,"Cuello: movilidad activa y pasiva (flexión, extensión, rotación, lateralidad). La rigidez duele en ambas.",06c
efr.columna,tecnica,"Lasègue: decúbito dorsal, elevar la pierna extendida. Dolor antes de 90° en síndrome radicular o meníngeo.",11e
efr.columna,buscar,"Decúbito dorsal inmóvil obligado: fractura de columna, espondilitis o hernia de disco.",05a
efr.columna,buscar,"El dolor lumbar musculoesquelético (contractura, artrosis, hernia discal) es diferencial del Giordano renal.",10b
efr.extremidades,tecnica,"Temblor: extender ambas manos, palmas abajo y dedos separados. Una hoja de papel sobre el dorso amplifica el temblor fino.",05b
efr.extremidades,tecnica,Asterixis: mano en posición de juramento forzada hacia atrás. Aleteo en encefalopatía hepática o coma urémico.,05b
efr.extremidades,buscar,"Hipocratismo digital (palillo de tambor, uñas en vidrio de reloj), petequias ungueales y nódulos de Osler.",08b
efr.extremidades,tecnica,Temperatura con el dorso de la mano comparando regiones simétricas. Frío localizado: obstrucción arterial.,05f
efr.extremidades,buscar,"Trofismo por inspección y palpación: hipotrofia, atrofia o hipertrofia. Fasciculaciones visibles en reposo.",11b
efr.extremidades,tecnica,Trousseau: comprimir el brazo con el brazalete del tensiómetro 10 minutos. Espasmo carpopedal en hipocalcemia.,05b
efr.extremidades,buscar,Pierna cruzada que se mueve con cada latido y signo de Quincke en las uñas: insuficiencia aórtica.,08e
efr.extremidades,buscar,"Marcha: cojera, cerebelosa (base amplia), parkinsoniana, hemipléjica en guadaña, laberíntica o polineurítica.",05b
efr.edema,tecnica,"Inspección y digitopresión con índice o pulgar sobre plano óseo: cara anterior de la tibia, maléolo o sacro si está encamado.",05g
efr.edema,tecnica,"Comprimir firme y sostenido, nunca en la pantorrilla. Al retirar el dedo, la profundidad de la fóvea (Godet) marca intensidad.",05g
efr.edema,buscar,Intensidad en cruces: de 1 cruz (leve) a 4 cruces (anasarca),05g
efr.edema,instrumento,Balanza para el peso diario y cinta métrica para el perímetro del área edematizada.,05g
efr.edema,buscar,"Localización y simetría (unilateral: pensar en trombosis venosa profunda). Consistencia: blando si reciente, duro como cáscara de naranja si crónico.",05g
efr.edema,tecnica,Temperatura con el dorso de los dedos (caliente si es inflamatorio). Dolor a la digitopresión en procesos inflamatorios.,05g
efr.edema,buscar,"Color: cianótico (cardiaco o venoso), pálido (renal o linfático), rojizo (celulitis). El mixedema no deja fóvea.",05g
efr.edema,buscar,"Acompañantes: disnea u ortopnea (cardiaco), ascitis con estigmas hepáticos, orina espumosa (nefrótico)",05g
efr.pulsos,tecnica,"Radial: pulpejos de índice, medio y anular entre la estiloides del radio y los flexores, mano del paciente en supinación.",05d
efr.pulsos,tecnica,Contar un minuto completo y compararlo con la frecuencia auscultada (déficit de pulso),05d
efr.pulsos,tecnica,"Palpar ambas radiales a la vez: deben tener igual amplitud. Si difieren, pensar en aneurisma u obstrucción.",05d
efr.pulsos,buscar,"Pared lisa y elástica en el joven, rígida y tortuosa en la arteriosclerosis. Valorar ritmo, amplitud, tensión y onda.",05d
efr.pulsos,tecnica,"Otros sitios: carótida (con cuidado en ancianos), braquial, femoral, poplítea con rodilla flexionada, tibial posterior, pedia.",05d
efr.pulsos,buscar,"En paro cardiorrespiratorio o agonía, palpar carótida o femoral, no la radial.",05d
efr.pulsos,buscar,Femorales débiles o ausentes con radiales normales: coartación de aorta.,08e
efr.pulsos,buscar,"Onda: céler (insuficiencia aórtica), parvus (estenosis aórtica), filiforme (shock), alternante o paradójico.",08e
efr.fuerza,tecnica,"Explorar por grupos musculares contra resistencia y gravedad, comparando lados y grupos proximales con distales.",11b
efr.fuerza,buscar,"Graduar de 0 a 5. Pérdida completa: plejía. Incompleta: paresia (mono, hemi, para o cuadri según extensión)",11b
efr.fuerza,tecnica,"Tono: resistencia a la movilización pasiva, explorada por palpación y balanceo pasivo del segmento.",11b
efr.fuerza,buscar,"Espasticidad con signo de la navaja (piramidal), rueda dentada (extrapiramidal), hipotonía o flacidez.",11b
efr.fuerza,tecnica,"Tono de Babinski: sentado, miembros inferiores extendidos y palmas arriba. Si no sostiene la postura: hipotonía.",11b
efr.fuerza,buscar,Patrón distal (no abrocha botones) o proximal (no se levanta de la silla ni sube escaleras),11b
efr.fuerza,buscar,"Motoneurona superior: hiperreflexia y Babinski, sin atrofia. Inferior: flacidez, atrofia e hiporreflexia.",11b
efr.fuerza,tecnica,XI par: girar la cabeza contra resistencia (esternocleidomastoideo) y elevar los hombros contra resistencia (trapecio),11d
efr.rot,instrumento,Martillo de reflejos.,03b
efr.rot,posicion,"Paciente cómodo, sentado y relajado. Extremidad en posición intermedia entre flexión y extensión.",11b
efr.rot,tecnica,"Golpe suave y rápido directo sobre el tendón, comparando siempre con el lado homólogo.",11b
efr.rot,tecnica,"Bicipital: antebrazo semiflexionado, presionar el tendón en la fosa antecubital y percutir. Respuesta: flexión del antebrazo.",11b
efr.rot,tecnica,"Rotuliano (L2-L4): pierna flexionada y relajada, percutir el tendón rotuliano. Respuesta: extensión de la pierna.",11b
efr.rot,tecnica,"Aquiliano (L5-S1-S2): sentado, de rodillas o acostado, percutir el tendón de Aquiles. Respuesta: extensión del pie.",11b
efr.rot,tecnica,Si no aparece: maniobra de Jendrassik (enganchar los dedos de ambas manos y tirar) mientras se percute.,11b
efr.rot,buscar,"Escala de 0 a 4 cruces. Clonus, Babinski (dorsiflexión del dedo gordo) y Hoffman indican lesión piramidal.",11b
efr.neurologico,tecnica,"Pares craneales siempre del I al XII, en forma bilateral y comparativa.",11d
efr.neurologico,instrumento,"Algodón, objeto puntiforme romo, tubos con agua fría y caliente, y diapasón de 128 Hz para la vibración.",11c
efr.neurologico,tecnica,"Sensibilidad con ojos cerrados, simétrica y comparativa: dolor, temperatura y tacto. Posición: mover el 1.er dedo del pie.",11c
efr.neurologico,tecnica,"Romberg: de pie, pies juntos, sin apoyo, y cerrar los ojos. Positivo si pierde el equilibrio.",11c
efr.neurologico,tecnica,"Cerebelo: índice-nariz (dismetría), alternar palma y dorso, talón-rodilla, marcha en tándem y rebote de Holmes.",11c
efr.neurologico,buscar,Rigidez de nuca: resistencia dolorosa al flexionar la cabeza sobre el tronco (meningitis). No confundir con tortícolis.,06c
efr.neurologico,tecnica,"Brudzinski: decúbito dorsal a 0°, mano bajo el occipital y flexionar la cabeza. Positivo si flexiona rodillas y caderas.",11e
efr.neurologico,tecnica,"Kernig: decúbito dorsal, cadera y rodilla flexionadas, extender la rodilla. Positivo si hay dolor, resistencia y flexión cefálica.",11e
efg.pa,normal,Adulto: se aceptan como normales valores menores de 140/90 mmHg.,05h
efg.pa,interpretacion,"Presión arterial de 140/90 mmHg o más, confirmada en dos o más mediciones: hipertensión arterial.",05h
efg.pa,interpretacion,Hipertensión sistólica aislada: sistólica mayor de 140 mmHg con diastólica menor de 90 mmHg.,05h
efg.pa,interpretacion,Hipotensión postural: caída de 20 mmHg en la sistólica o 10 mmHg en la diastólica al pasar de decúbito a de pie.,05h
efg.pa,normal,Presión diferencial normal: 40 mmHg (rango 30 a 50). Mayor de 40: divergente. Menor de 30: convergente.,05d
efg.pa,normal,Presión arterial media normal: 60 a 100 mmHg. Menor de 60: isquemia cerebral. Mayor de 140: riesgo de accidente cerebrovascular.,05d
efg.pa,alerta,"Tomar tras 5 minutos de reposo, con el brazo apoyado a nivel del corazón, en ambos brazos, y repetir al final del examen.",05d
efg.pa,alerta,"Un manguito pequeño o flojo, o el manómetro por debajo del corazón, dan cifras falsamente altas. Lo contrario las da falsamente bajas.",05d
